PROVINCE,DIVISION,DISTRICT,TEHSIL,NOW_POPULATION,POPULATION 1998,FEMALE_POPULATION,MALE_POPULATION,AREA (sq.km),AVG_HOUSEHOLD_SIZE,TRANSGENDER_POPULATION,SEX_RATIO,ANNUAL_GROWTH_RATE,Population Density,POPULATION_INCREASE
KPK/FATA,PESHAWAR DIVISION,KHYBER DISTRICT,JAMRUD TEHSIL,227557,96188,110894,116635,311.0,16.46,28,103.9710834,5.05368,731.6945337620579,131369
KPK/FATA,PESHAWAR DIVISION,KHYBER DISTRICT,LANDI KOTAL TEHSIL,273052,144714,131088,141939,679.0,16.94,25,107.8611131,3.59219,402.13843888070693,128338
KPK/FATA,PESHAWAR DIVISION,KHYBER DISTRICT,MULLA GORI TEHSIL,40188,19644,19254,20933,156.0,9.41,1,108.7200,3.83,257.61538461538464,20544
KPK/FATA,KOHAT DIVISION,KURRAM DISTRICT,LOWER KURRAM TEHSIL,133929,81323,67221,66691,940.0,18.45,17,97.8110369,2.43344,142.47765957446808,52606
KPK/FATA,KOHAT DIVISION,KURRAM DISTRICT,UPPER KURRAM TEHSIL,252436,185571,127514,124909,970.0,16.76,13,97.989699,1.75197,260.24329896907216,66865
KPK/FATA,PESHAWAR DIVISION,MOHMAND DISTRICT,AMBAR UTMAN KHEL TEHSIL,61951,30728,30538,31413,273.0,8.96,0,102.8700,3.75,226.9267399267399,31223
KPK/FATA,PESHAWAR DIVISION,MOHMAND DISTRICT,HALIM ZAI TEHSIL,78705,48418,38163,40530,211.0,8.81,12,106.200,2.59,373.0094786729858,30287
KPK/FATA,PESHAWAR DIVISION,MOHMAND DISTRICT,PINDIALI TEHSIL,89711,51276,43752,45952,454.0,9.69,7,105.0300,2.98,197.6013215859031,38435
KPK/FATA,PESHAWAR DIVISION,MOHMAND DISTRICT,PRANG GHAR TEHSIL,36569,18620,18281,18288,257.0,8.21,0,100.0400,3.61,142.29182879377433,17949
KPK/FATA,PESHAWAR DIVISION,MOHMAND DISTRICT,SAFI TEHSIL,98501,71503,48142,50353,322.0,11.04,6,104.5900,1.7,305.90372670807454,26998
KPK/FATA,PESHAWAR DIVISION,MOHMAND DISTRICT,UPPER MOHMAND TEHSIL,51154,80177,25424,25723,513.0,8.87,7,101.1800,2.33,99.71539961013646,-29023
KPK/FATA,PESHAWAR DIVISION,MOHMAND DISTRICT,YAKE GHUND TEHSIL,57754,33731,28455,29290,266.0,9.1,9,102.9300,2.87,217.1203007518797,24023
KPK/FATA,BANNU DIVISION,NORTH WAZIRISTAN DISTRICT,DATTA KHEL TEHSIL,75003,110006,37619,37377,1807.0,8.47,7,99.3600,1.99,41.506917542888765,-35003
KPK/FATA,BANNU DIVISION,NORTH WAZIRISTAN DISTRICT,DOSSALI TEHSIL,39945,20482,19173,20770,250.0,9.33,2,108.3300,3.57,159.78,19463
KPK/FATA,BANNU DIVISION,NORTH WAZIRISTAN DISTRICT,GHARYUM TEHSIL,11811,3917,5467,6339,320.0,6.85,5,115.9500,5.97,36.909375,7894
KPK/FATA,BANNU DIVISION,NORTH WAZIRISTAN DISTRICT,GHULAM KHAN TEHSIL,27015,13251,12786,14228,191.0,7.56,1,111.2800,3.81,141.43979057591622,13764
KPK/FATA,BANNU DIVISION,NORTH WAZIRISTAN DISTRICT,MIR ALI TEHSIL,184986,93855,90481,94496,605.0,7.7,9,104.4400,3.63,305.76198347107436,91131
KPK/FATA,BANNU DIVISION,NORTH WAZIRISTAN DISTRICT,MIRAN SHAH TEHSIL,100644,67530,48772,51870,402.0,16.22,2,101.9529781,2.38163,250.3582089552239,33114
KPK/FATA,BANNU DIVISION,NORTH WAZIRISTAN DISTRICT,RAZMAK TEHSIL,15681,5729,7451,8229,191.0,6.91,1,110.4400,5.43,82.09947643979058,9952
KPK/FATA,BANNU DIVISION,NORTH WAZIRISTAN DISTRICT,SHEWA TEHSIL,39290,22956,19290,19997,393.0,9.59,3,103.6700,2.86,99.97455470737914,16334
KPK/FATA,BANNU DIVISION,NORTH WAZIRISTAN DISTRICT,SPINWAM TEHSIL,46171,23520,21725,24443,548.0,12.43,3,112.5100,3.61,84.2536496350365,22651
KPK/FATA,KOHAT DIVISION,ORAKZAI DISTRICT,CENTRAL TEHSIL,59132,47122,29691,29440,399.0,8.91,1,99.1500,1.2,148.20050125313284,12010
KPK/FATA,KOHAT DIVISION,ORAKZAI DISTRICT,ISMAIL ZAI TEHSIL,23963,28843,11905,12058,275.0,8.28,0,101.2900,0.97,87.13818181818182,-4880
KPK/FATA,KOHAT DIVISION,ORAKZAI DISTRICT,LOWER TEHSIL,107323,65416,53550,53767,565.0,8.16,6,100.4100,2.63,189.95221238938052,41907
KPK/FATA,KOHAT DIVISION,ORAKZAI DISTRICT,UPPER TEHSIL,63885,84060,31582,32299,299.0,7.04,4,102.2700,1.43,213.66220735785953,-20175
KPK/FATA,DERA ISMAIL KHAN DIVISION,SOUTH WAZIRISTAN DISTRICT,BIRMIL TEHSIL,104282,58512,49948,54323,923.0,9.44,11,108.7600,3.08,112.9815817984832,45770
KPK/FATA,DERA ISMAIL KHAN DIVISION,SOUTH WAZIRISTAN DISTRICT,LADHA TEHSIL,110842,72278,53080,57755,466.0,6.36,7,108.8100,2.27,237.85836909871244,38564
KPK/FATA,DERA ISMAIL KHAN DIVISION,SOUTH WAZIRISTAN DISTRICT,MAKIN TEHSIL,58646,30528,27738,30906,404.0,6.35,2,111.4200,3.49,145.16336633663366,28118
KPK/FATA,DERA ISMAIL KHAN DIVISION,SOUTH WAZIRISTAN DISTRICT,SARAROGHA TEHSIL,98180,72063,46694,51479,813.0,7.57,7,110.2500,1.64,120.76260762607626,26117
KPK/FATA,DERA ISMAIL KHAN DIVISION,SOUTH WAZIRISTAN DISTRICT,SERWEKAI TEHSIL,54540,31472,25844,28695,398.0,7.2,1,111.0300,2.93,137.03517587939697,23068
KPK/FATA,DERA ISMAIL KHAN DIVISION,SOUTH WAZIRISTAN DISTRICT,TIARZA TEHSIL,45156,37708,21507,23649,734.0,7.99,0,109.9600,0.95,61.520435967302454,7448
KPK/FATA,DERA ISMAIL KHAN DIVISION,SOUTH WAZIRISTAN DISTRICT,TOI KHULLA TEHSIL,50413,36508,22947,27462,567.0,9.34,4,119.6800,1.71,88.91181657848324,13905
KPK/FATA,DERA ISMAIL KHAN DIVISION,SOUTH WAZIRISTAN DISTRICT,WANA TEHSIL,153156,90772,71796,81342,2315.0,10.19,18,113.300,2.79,66.15809935205183,62384
